plate,rowlett,columnnum,longbarcode,original_plate,original_plate_loc,barcode,sngplt_rowlet,sngplt_colnum,snounouname
VivID_M005-M017,B,1,M5_F11_Z9N6D,M5,F11,z9n6d,A,1,M005-M017_B1
VivID_M005-M017,C,3,M9_H5_C9M2Z,M9,H5,c9m2z,A,2,M005-M017_C3
VivID_M005-M017,C,5,M9_G10_W9I8W,M9,G10,w9i8w,A,3,M005-M017_C5
VivID_M021-M041,A,4,M025_A11_Y5V3D,M025,A11,y5v3d,A,4,M021-M041_A4
VivID_M021-M041,A,5,M034_B1_T4V8C,M034,B1,t4v8c,A,5,M021-M041_A5
VivID_M021-M041,A,6,M034_A10_B8W6M,M034,A10,b8w6m,A,6,M021-M041_A6
VivID_M021-M041,C,1,M021_D4_F5Y9S,M021,D4,f5y9s,A,7,M021-M041_C1
VivID_M021-M041,E,5,M034_D4_E2E6Q,M034,D4,e2e6q,A,8,M021-M041_E5
VivID_M021-M041,F,4,M026_E6_F6G7Y,M026,E6,f6g7y,A,9,M021-M041_F4
VivID_M021-M041,G,2,M023_C12_E6M1X,M023,C12,e6m1x,A,10,M021-M041_G2
VivID_M021-M041,G,3,M025_E7_G8B9Y,M025,E7,g8b9y,A,11,M021-M041_G3
VivID_M042-M062_plate_1,B,10,M051_B5_C8A6Q,M051,B5,c8a6q,A,12,M042-M062_plate_1_B10
VivID_M042-M062_plate_1,C,7,M046_H8_H9K0B,M046,H8,h9k0b,B,1,M042-M062_plate_1_C7
VivID_M042-M062_plate_1,C,8,M049_G6_I3F8Y,M049,G6,i3f8y,B,2,M042-M062_plate_1_C8
VivID_M042-M062_plate_1,C,9,M050_E6_S0G9I,M050,E6,s0g9i,B,3,M042-M062_plate_1_C9
VivID_M042-M062_plate_1,D,5,M046_C1_D5Q3C,M046,C1,d5q3c,B,4,M042-M062_plate_1_D5
VivID_M042-M062_plate_1,E,11,M051_G3_H0V5I,M051,G3,h0v5i,B,5,M042-M062_plate_1_E11
VivID_M042-M062_plate_1,F,5,M046_C8_L1M4D,M046,C8,l1m4d,B,6,M042-M062_plate_1_F5
VivID_M042-M062_plate_1,F,6,M046_F3_S3W7Z,M046,F3,s3w7z,B,7,M042-M062_plate_1_F6
VivID_M042-M062_plate_1,H,2,M045_A2_O9J7O,M045,A2,o9j7o,B,8,M042-M062_plate_1_H2
VivID_M042-M062_plate_1,H,5,M046_D5_P6M3L,M046,D5,p6m3l,B,9,M042-M062_plate_1_H5
VivID_M042-M062_plate_1,H,9,M050_G5_L6V1O,M050,G5,l6v1o,B,10,M042-M062_plate_1_H9
VivID_M042-M062_plate_2,A,10,M061_B12_F7U7O,M061,B12,f7u7o,B,11,M042-M062_plate_2_A10
VivID_M042-M062_plate_2,A,12,M061_G3_H1J0R,M061,G3,h1j0r,B,12,M042-M062_plate_2_A12
VivID_M042-M062_plate_2,A,6,M056_E3_C1H1L,M056,E3,c1h1l,C,1,M042-M062_plate_2_A6
VivID_M042-M062_plate_2,A,9,M061_A3_Z3V6F,M061,A3,z3v6f,C,2,M042-M062_plate_2_A9
VivID_M042-M062_plate_2,C,6,M056_F1_W6B7L,M056,F1,w6b7l,C,3,M042-M062_plate_2_C6
VivID_M042-M062_plate_2,D,12,M061_H3_E7J5Z,M061,H3,e7j5z,C,4,M042-M062_plate_2_D12
VivID_M042-M062_plate_2,D,4,M055_C7_E7J8D,M055,C7,e7j8d,C,5,M042-M062_plate_2_D4
VivID_M042-M062_plate_2,D,7,M057_H5_Y1P8X,M057,H5,y1p8x,C,6,M042-M062_plate_2_D7
VivID_M042-M062_plate_2,F,6,M056_H6_K7X5U,M056,H6,k7x5u,C,7,M042-M062_plate_2_F6
VivID_M042-M062_plate_2,G,1,M053_F9_Z4Q5Z,M053,F9,z4q5z,C,8,M042-M062_plate_2_G1
VivID_M063-M084,C,2,M065_D5_Z7Y8O,M065,D5,z7y8o,C,9,M063-M084_C2
VivID_M063-M084,E,5,M079_C11_I8S6P,M079,C11,i8s6p,C,10,M063-M084_E5
VivID_M078_M085-M103,G,1,M098_G4_B8F0O,M098,G4,b8f0o,C,11,M078_M085-M103_G1
VivID_M104-M123,B,1,M105_B7_U1K1H,M105,B7,u1k1h,C,12,M104-M123_B1
VivID_M104-M123,E,4,M123_B4_E4V1F,M123,B4,e4v1f,D,1,M104-M123_E4
VivID_M104-M123,F,4,M123_B8_Z3L0O,M123,B8,z3l0o,D,2,M104-M123_F4
VivID_M104-M123,F,5,M123_D11_B5W9M,M123,D11,b5w9m,D,3,M104-M123_F5
VivID_M124-M143,D,7,M135_C5_G5H3V,M135,C5,g5h3v,D,4,M124-M143_D7
VivID_M124-M143,E,4,M130_C5_A5Y8M,M130,C5,a5y8m,D,5,M124-M143_E4
VivID_M144-M163,B,2,M149_A2_P9K7Q,M149,A2,p9k7q,D,6,M144-M163_B2
VivID_M144-M163,D,6,M161_C6_R1F7F,M161,C6,r1f7f,D,7,M144-M163_D6
VivID_M144-M163,E,3,M149_H7_P3P4M,M149,H7,p3p4m,D,8,M144-M163_E3
VivID_M144-M163,E,8,M162_H5_O9U4W,M162,H5,o9u4w,D,9,M144-M163_E8
VivID_M144-M163,F,4,M158_C5_H1M6B,M158,C5,h1m6b,D,10,M144-M163_F4
VivID_M144-M163,H,1,M148_G3_R5S1Q,M148,G3,r5s1q,D,11,M144-M163_H1
VivID_M164-M183,F,2,M173_C9_J3Q9M,M173,C9,j3q9m,D,12,M164-M183_F2
VivID_M184-UNC006,B,3,UNC001_G1_M5N9O,UNC001,G1,m5n9o,E,1,M184-UNC006_B3
