plate,rowlett,columnnum,barcode
VivID_M005-M017,B,5,w5e6m
VivID_M005-M017,C,1,q5t6v
VivID_M005-M017,D,5,h2a5o
VivID_M005-M017,E,5,w5m3r
VivID_M021-M041,A,1,r1a9c
VivID_M021-M041,A,4,y5v3d
VivID_M021-M041,A,5,t4v8c
VivID_M021-M041,B,6,d0m5u
VivID_M021-M041,C,9,m1a6t
VivID_M021-M041,E,5,e2e6q
VivID_M021-M041,F,1,b9o3c
VivID_M021-M041,F,4,f6g7y
VivID_M021-M041,G,3,g8b9y
VivID_M021-M041,H,6,p9e9m
VivID_M042-M062_plate_1,A,7,z0i6o
VivID_M042-M062_plate_1,B,7,n0o1d
VivID_M042-M062_plate_1,C,8,i3f8y
VivID_M042-M062_plate_1,C,9,s0g9i
VivID_M042-M062_plate_1,D,6,a1v7e
VivID_M042-M062_plate_1,G,10,c1t5c
VivID_M042-M062_plate_1,H,2,o9j7o
VivID_M042-M062_plate_1,H,4,v3j8q
VivID_M042-M062_plate_2,A,10,f7u7o
VivID_M042-M062_plate_2,A,4,g0o3x
VivID_M042-M062_plate_2,C,5,n0q2g
VivID_M042-M062_plate_2,D,10,d1y1e
VivID_M042-M062_plate_2,D,9,k1y1l
VivID_M042-M062_plate_2,E,10,p4d0w
VivID_M042-M062_plate_2,E,11,g9m2e
VivID_M042-M062_plate_2,E,3,x9v6j
VivID_M042-M062_plate_2,F,6,k7x5u
VivID_M042-M062_plate_2,G,5,m6t5r
VivID_M063-M084,A,5,v2y3z
VivID_M063-M084,G,6,g3v1g
VivID_M078_M085-M103,G,1,b8f0o
VivID_M104-M123,F,4,z3l0o
VivID_M104-M123,F,5,b5w9m
VivID_M124-M143,D,9,r6j7o
VivID_M124-M143,E,4,a5y8m
VivID_M124-M143,H,7,l9h9l
VivID_M144-M163,B,3,l9g6h
VivID_M144-M163,B,5,x6s8f
VivID_M144-M163,E,7,h4p6h
VivID_M144-M163,E,8,o9u4w
VivID_M144-M163,F,1,d1e2k
VivID_M144-M163,F,6,p9q8x
VivID_M144-M163,H,1,r5s1q
VivID_M164-M183,A,4,k3a7u
VivID_M164-M183,B,1,d8f4u
VivID_M164-M183,F,2,j3q9m
